al	al
alak	alak
alan	alan
alaren	alaren
alari	alari
aletatik	aletat
alko	alko
altzat	altzat
anitz	ani
anitzak	ani
anitzan	ani
anitzaren	anitza
anitzari	ani
anitzetatik	anitzetat
anitzko	anit
anitztzat	ani
arabera	arabera
araberaak	ara
araberaan	arabera
araberaaren	araberaa
araberaari	arabera
araberaetatik	araberaetat
araberako	ara
araberatzat	arabera
asko	asko
askoak	asko
askoan	asko
askoaren	askoaren
askoari	asko
askoetatik	askoetat
askoko	asko
askotzat	asko
badakit	badakit
baina	bai
bainaak	bai
bainaan	bai
bainaaren	bainaaren
bainaari	bai
bainaetatik	bainaetat
bainako	bai
bainatzat	bai
bat	bat
batak	bat
batan	bat
bataren	bataren
batari	batari
batean	bat
bateanak	batean
bateanan	bat
bateanaren	batea
bateanari	bat
bateanetatik	bateanetat
bateanko	batean
bateantzat	bat
batek	bat
batekak	bat
batekan	bate
batekaren	bate
batekari	bate
bateketatik	bateketat
batekko	bat
batektzat	bat
batetatik	batetat
bati	bati
batiak	bati
batian	bati
batiaren	batiaren
batiari	bati
batietatik	batietat
batiko	bati
batitzat	bati
batko	bat
battzat	bat
batzuei	batzuei
batzueiak	batzuei
batzueian	batzuei
batzueiaren	batzueiaren
batzueiari	batzuei
batzueietatik	batzueietat
batzueiko	batzuei
batzueitzat	batzuei
batzuek	batzu
batzuekak	batzu
batzuekan	batzue
batzuekaren	batzue
batzuekari	batzue
batzueketatik	batzueketat
batzuekko	batzu
batzuektzat	batzu
batzuetan	batzu
batzuetanak	batzu
batzuetanan	batzu
batzuetanaren	batzu
batzuetanari	batzu
batzuetanetatik	batzuetanetat
batzuetanko	batzu
batzuetantzat	batzu
batzuk	batzuk
batzukak	batzuk
batzukan	batzu
batzukaren	batzu
batzukari	batzu
batzuketatik	batzuketat
batzukko	batzuk
batzuktzat	batzuk
bera	bera
beraak	bera
beraan	bera
beraaren	beraaren
beraari	bera
beraetatik	beraetat
beraiek	berai
beraiekak	berai
beraiekan	beraie
beraiekaren	beraie
beraiekari	beraie
beraieketatik	beraieketat
beraiekko	berai
beraiektzat	berai
berako	bera
beratzat	bera
berau	berau
berauak	berau
berauan	berau
berauaren	berauaren
berauari	berau
berauek	berau
berauekak	berau
berauekan	beraue
berauekaren	beraue
berauekari	beraue
beraueketatik	beraueketat
berauekko	berau
berauektzat	berau
berauetatik	berauetat
berauko	berau
berautzat	berau
bere	bere
bereak	bere
berean	berean
berearen	berearen
bereari	bere
bereetatik	bereetat
bereko	ber
beretzat	bere
berori	berori
beroriak	berori
berorian	berori
beroriaren	beroria
beroriari	berori
beroriek	berori
beroriekak	berori
beroriekan	berorie
beroriekaren	berorie
beroriekari	berorie
berorieketatik	berorieketat
beroriekko	berori
beroriektzat	berori
berorietatik	berorietat
beroriko	berori
beroritzat	berori
beste	bes
besteak	bes
bestean	best
bestearen	bestearen
besteari	bes
besteetatik	besteetat
besteko	best
bestetzat	bes
bezala	beza
bezalaak	beza
bezalaan	beza
bezalaaren	bezalaa
bezalaari	beza
bezalaetatik	bezalaetat
bezalako	beza
bezalatzat	beza
da	da
daak	daak
daan	daan
daaren	daaren
daari	daari
daetatik	daetat
dago	dago
dagoak	dago
dagoan	dago
dagoaren	dagoaren
dagoari	dago
dagoetatik	dagoetat
dagoko	dago
dagotzat	dago
dakigu	dakigu
dakit	dakit
dako	dako
datzat	datzat
dira	dira
diraak	dira
diraan	dira
diraaren	diraaren
diraari	dira
diraetatik	diraetat
dirako	dira
diratzat	dira
ditu	ditu
dituak	ditu
dituan	ditu
dituaren	dituaren
dituari	ditu
dituetatik	dituetat
dituko	dituko
ditutzat	ditu
du	du
duak	duak
duan	duan
duaren	duaren
duari	duari
duetatik	duetat
duko	duko
dute	dute
duteak	dute
dutean	dut
dutearen	dutearen
duteari	dute
duteetatik	duteetat
duteko	dut
dutetzat	dute
dutzat	dutzat
eder	eder
ederra	eder
edo	edo
edoak	edo
edoan	edo
edoaren	edoaren
edoari	edo
edoetatik	edoetat
edoko	edo
edotzat	edo
egin	egin
eginak	egin
eginan	egin
eginaren	egi
eginari	egin
eginetatik	eginetat
eginko	egin
egintzat	egin
egiten	egi
ere	ere
ereak	ere
erean	erean
erearen	erearen
ereari	ere
ereetatik	ereetat
ereko	ereko
eretzat	ere
esan	esan
esaten	esa
eskola	esko
eskolan	eskol
eta	eta
etaak	eta
etaan	eta
etaaren	etaaren
etaari	eta
etaetatik	etaetat
etako	etako
etatzat	eta
etorri	etorri
etortzen	etor
etxe	etxe
etxearen	etxearen
etxera	etxe
etxetik	etxet
eurak	eur
eurakak	eur
eurakan	eura
eurakaren	eura
eurakari	eura
euraketatik	euraketat
eurakko	eur
euraktzat	eur
ez	ez
ezak	ezak
ezan	ezan
ezaren	ezaren
ezari	ezari
ezetatik	ezetat
ezko	ezko
eztzat	eztzat
gainera	gain
gaineraak	gai
gaineraan	gain
gaineraaren	gaineraa
gaineraari	gain
gaineraetatik	gaineraetat
gainerako	gai
gaineratzat	gain
gizon	gizon
gizona	gizo
gizonek	gizon
gizontzat	gizon
gu	gu
guak	guak
guan	guan
guaren	guaren
guari	guari
guetatik	guetat
guko	guko
gutxi	gutxi
gutxiak	gutxi
gutxian	gutxi
gutxiaren	gutxiaren
gutxiari	gutxi
gutxietatik	gutxietat
gutxiko	gutxi
gutxitzat	gutxi
gutzat	gutzat
guzti	guz
guztiak	guz
guztian	guz
guztiaren	guztiaren
guztiari	guz
guztietatik	guztietat
guztiko	guz
guztitzat	guz
haiei	haiei
haieiak	haiei
haieian	haiei
haieiaren	haieiaren
haieiari	haiei
haieietatik	haieietat
haieiko	haiei
haieitzat	haiei
haiek	hai
haiekak	hai
haiekan	haie
haiekaren	haiekaren
haiekari	haie
haieketatik	haieketat
haiekko	hai
haiektzat	hai
haietan	hai
haietanak	hai
haietanan	hai
haietanaren	hai
haietanari	hai
haietanetatik	haietanetat
haietanko	hai
haietantzat	hai
hainbeste	hainbes
hainbesteak	hainbes
hainbestean	hainbest
hainbestearen	hainbes
hainbesteari	hainbes
hainbesteetatik	hainbesteetat
hainbesteko	hainbest
hainbestetzat	hainbes
hala	hala
halaak	hala
halaan	hala
halaaren	halaaren
halaari	hala
halaetatik	halaetat
halako	hala
halatzat	hala
han	han
hanak	han
hanan	han
hanaren	hanaren
hanari	han
handi	handi
handia	handia
handik	hand
handikak	hand
handikan	handi
handikaren	handi
handikari	handi
handiketatik	handiketat
handikko	hand
handiktzat	hand
hanetatik	hanetat
hango	han
hangoak	han
hangoan	han
hangoaren	hangoaren
hangoari	han
hangoetatik	hangoetat
hangoko	han
hangotzat	han
hanko	han
hantzat	han
hara	hara
haraak	hara
haraan	hara
haraaren	haraaren
haraari	hara
haraetatik	haraetat
harako	hara
haratzat	hara
hari	hari
hariak	hari
harian	hari
hariaren	hariaren
hariari	hari
harietatik	harietat
hariko	hari
haritzat	hari
hark	hark
harkak	hark
harkan	har
harkaren	harkaren
harkari	har
harketatik	harketat
harkko	hark
harktzat	hark
hartan	hart
hartanak	har
hartanan	hart
hartanaren	har
hartanari	hart
hartanetatik	hartanetat
hartanko	har
hartantzat	hart
hau	hau
hauak	hau
hauan	hau
hauaren	hauaren
hauari	hau
hauei	hauei
haueiak	hauei
haueian	hauei
haueiaren	haueiaren
haueiari	hauei
