a	a
aals	aal
abans	aban
abansals	aban
abansble	abansb
abansció	aban
abanses	aban
abansistes	aban
abansió	aban
abansments	aban
abanss	abans
abanstats	abanst
able	ab
ació	ac
ací	ac
acíals	ac
acíble	acib
acíció	ac
acíes	ac
acíistes	ac
acíió	ac
acíments	ac
acís	ac
acítats	acit
aes	aes
ah	ah
ahals	ah
ahble	ahb
ahció	ah
ahes	ah
ahistes	ah
ahió	ah
ahments	ah
ahs	ah
ahtats	aht
aistes	aist
així	aix
aixíals	aix
aixíble	aixib
aixíció	aix
aixíes	aix
aixíistes	aix
aixíió	aix
aixíments	aix
aixís	aix
aixítats	aixit
això	aixo
aixòals	aixo
aixòble	aixob
aixòció	aixo
aixòes	aixo
aixòistes	aixo
aixòió	aixo
aixòments	aixo
aixòs	aixo
aixòtats	aixot
aió	aio
al	al
alals	al
alble	alb
alció	al
ales	al
aleshores	alesh
aleshoresals	aleshore
aleshoresble	aleshoresb
aleshoresció	aleshore
aleshoreses	aleshor
aleshoresistes	aleshore
aleshoresió	aleshore
aleshoresments	aleshore
aleshoress	aleshor
aleshorestats	aleshorest
algun	algun
alguna	algun
algunaals	algun
algunable	algunab
algunació	algun
algunaes	algun
algunaistes	algun
algunaió	algun
algunals	algun
algunaments	algun
algunas	algun
algunatats	algunat
algunble	algunb
algunció	algun
algunes	algun
algunesals	algune
algunesble	algunesb
algunesció	algune
alguneses	algun
algunesistes	algune
algunesió	algune
algunesments	algune
alguness	algun
algunestats	algunest
algunistes	algun
algunió	algun
algunments	algun
alguns	algun
algunsals	algun
algunsble	algunsb
algunsció	algun
algunses	algun
algunsistes	algun
algunsió	algun
algunsments	algun
algunss	alguns
algunstats	algunst
alguntats	algunt
alhora	alh
alhoraals	alhor
alhorable	alhorab
alhoració	alhor
alhoraes	alhor
alhoraistes	alhor
alhoraió	alhor
alhoraments	alhor
alhoras	alhor
alhoratats	alhorat
alistes	al
alió	al
allà	all
allàals	all
allàble	allab
allàció	all
allàes	all
allàistes	all
allàió	all
allàments	all
allàs	all
allàtats	allat
allí	all
allíals	all
allíble	allib
allíció	all
allíes	all
allíistes	all
allíió	all
allíments	all
allís	all
allítats	allit
allò	allo
allòals	allo
allòble	allob
allòció	allo
allòes	allo
allòistes	allo
allòió	allo
allòments	allo
allòs	allo
allòtats	allot
alments	al
als	al
alsals	al
alsble	alsb
alsció	al
alses	al
alsistes	al
alsió	al
alsments	al
alss	als
alstats	alst
altats	alt
altra	altr
altraals	altr
altrable	altrab
altració	altr
altraes	altr
altraistes	altr
altraió	altr
altraments	altr
altras	altr
altratats	altrat
altre	alt
altreals	altr
altreble	altreb
altreció	altr
altrees	altr
altreistes	altr
altreió	altr
altrements	altr
altres	altr
altresals	altre
altresble	altresb
altresció	altre
altreses	altr
altresistes	altre
altresió	altre
altresments	altre
altress	altr
altrestats	altrest
altretats	altret
amb	amb
ambals	amb
ambble	ambb
ambció	amb
ambdues	ambdu
ambduesals	ambdue
ambduesble	ambduesb
ambduesció	ambdue
ambdueses	ambdu
ambduesistes	ambdue
ambduesió	ambdue
ambduesments	ambdue
ambduess	ambdu
ambduestats	ambduest
ambdós	ambd
ambdósals	ambdo
